 (0.818155-0.535486j), (-0.118231-0.143874j), (-0.064590-0.036856j), (-0.035917-0.006381j), (-0.021200+0.003216j), (-0.012689+0.006918j), (-0.006677+0.008671j), (-0.001728+0.009385j), (0.002450+0.009175j), (0.005612+0.008025j), (0.007345+0.006001j), (0.007348+0.003327j), (0.005619+0.000360j), (0.002546-0.002454j), (-0.001135-0.004673j), (-0.004503-0.005950j), (-0.006692-0.006095j), (-0.007133-0.005126j), (-0.005713-0.003257j), (-0.002817-0.000847j), (0.000788+0.001647j), (0.004175+0.003787j), (0.006507+0.005199j), (0.007264+0.005657j), (0.006350+0.005108j), (0.004083+0.003659j), (0.001062+0.001573j), (-0.002017-0.000811j), (-0.004551-0.003128j), (-0.006166-0.005059j), (-0.006753-0.006386j), (-0.006444-0.007010j), (-0.005517-0.006964j), (-0.004297-0.006368j), (-0.003061-0.005417j), (-0.001998-0.004294j), (-0.001193-0.003171j), (-0.000647-0.002156j), (-0.000314-0.001301j), (-0.000121-0.000601j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j)
 (-0.118230-0.143873j), (0.747675-0.579510j), (-0.160361-0.153800j), (-0.090772-0.034533j), (-0.052367+0.001087j), (-0.030572+0.013310j), (-0.016054+0.018336j), (-0.004724+0.020274j), (0.004552+0.019967j), (0.011490+0.017545j), (0.015315+0.013190j), (0.015435+0.007391j), (0.011858+0.000928j), (0.005409-0.005231j), (-0.002353-0.010112j), (-0.009485-0.012949j), (-0.014144-0.013315j), (-0.015113-0.011235j), (-0.012140-0.007169j), (-0.006020-0.001902j), (0.001635+0.003565j), (0.008861+0.008264j), (0.013877+0.011370j), (0.015564+0.012383j), (0.013691+0.011180j), (0.008912+0.008004j), (0.002480+0.003431j), (-0.004128-0.001790j), (-0.009626-0.006857j), (-0.013192-0.011071j), (-0.014573-0.013956j), (-0.014023-0.015300j), (-0.012120-0.015182j), (-0.009545-0.013868j), (-0.006894-0.011783j), (-0.004581-0.009330j), (-0.002799-0.006884j), (-0.001563-0.004677j), (-0.000785-0.002820j), (-0.000313-0.001301j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j)
 (-0.064590-0.036856j), (-0.160362-0.153801j), (0.714061-0.584310j), (-0.184868-0.149405j), (-0.106810-0.024332j), (-0.060686+0.014580j), (-0.031739+0.028303j), (-0.010869+0.033161j), (0.005323+0.033222j), (0.017150+0.029445j), (0.023724+0.022325j), (0.024243+0.012718j), (0.018776+0.001925j), (0.008653-0.008429j), (-0.003644-0.016704j), (-0.015012-0.021585j), (-0.022499-0.022324j), (-0.024132-0.018933j), (-0.019468-0.012161j), (-0.009730-0.003324j), (0.002540+0.005890j), (0.014214+0.013833j), (0.022423+0.019100j), (0.025330+0.020827j), (0.022501+0.018807j), (0.014925+0.013452j), (0.004566+0.005743j), (-0.006218-0.003047j), (-0.015336-0.011559j), (-0.021414-0.018615j), (-0.023979-0.023421j), (-0.023377-0.025630j), (-0.020491-0.025387j), (-0.016404-0.023152j), (-0.012084-0.019638j), (-0.008226-0.015526j), (-0.005179-0.011439j), (-0.002998-0.007762j), (-0.001565-0.004676j), (-0.000647-0.002156j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j)
 (-0.035917-0.006380j), (-0.090773-0.034534j), (-0.184869-0.149403j), (0.690199-0.580433j), (-0.201799-0.137899j), (-0.114957-0.007756j), (-0.060154+0.033333j), (-0.023643+0.046670j), (0.002632+0.048734j), (0.021074+0.043895j), (0.031389+0.033695j), (0.032871+0.019603j), (0.025782+0.003594j), (0.012027-0.011905j), (-0.004924-0.024418j), (-0.020736-0.031938j), (-0.031260-0.033283j), (-0.033685-0.028413j), (-0.027311-0.018405j), (-0.013759-0.005215j), (0.003480+0.008617j), (0.020053+0.020588j), (0.031903+0.028554j), (0.036369+0.031192j), (0.032720+0.028177j), (0.022227+0.020135j), (0.007567+0.008558j), (-0.007963-0.004625j), (-0.021372-0.017356j), (-0.030619-0.027871j), (-0.034908-0.034987j), (-0.034604-0.038204j), (-0.030871-0.037762j), (-0.025206-0.034366j), (-0.018998-0.029091j), (-0.013284-0.022956j), (-0.008629-0.016883j), (-0.005175-0.011439j), (-0.002800-0.006882j), (-0.001192-0.003171j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j)
 (-0.021199+0.003216j), (-0.052367+0.001086j), (-0.106809-0.024331j), (-0.201797-0.137900j), (0.674363-0.569111j), (-0.209560-0.119777j), (-0.113055+0.013825j), (-0.049787+0.054585j), (-0.007648+0.064256j), (0.020285+0.059947j), (0.035905+0.046909j), (0.039390+0.028005j), (0.031527+0.006157j), (0.014885-0.015239j), (-0.006100-0.032727j), (-0.025923-0.043460j), (-0.039288-0.045713j), (-0.042540-0.039332j), (-0.034660-0.025731j), (-0.017553-0.007590j), (0.004457+0.011569j), (0.025886+0.028229j), (0.041521+0.039367j), (0.047830+0.043104j), (0.043686+0.038964j), (0.030514+0.027825j), (0.011599+0.011777j), (-0.008877-0.006471j), (-0.027006-0.024049j), (-0.040002-0.038507j), (-0.046625-0.048223j), (-0.047144-0.052535j), (-0.042914-0.051807j), (-0.035808-0.047039j), (-0.027647-0.039729j), (-0.019859-0.031284j), (-0.013287-0.022961j), (-0.008223-0.015530j), (-0.004584-0.009330j), (-0.001997-0.004296j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j)
 (-0.012688+0.006919j), (-0.030573+0.013309j), (-0.060687+0.014582j), (-0.114957-0.007757j), (-0.209564-0.119778j), (0.669184-0.551602j), (-0.206424-0.097803j), (-0.101617+0.036000j), (-0.033151+0.072517j), (0.009659+0.074556j), (0.033396+0.060515j), (0.040781+0.037358j), (0.033880+0.009730j), (0.016135-0.017759j), (-0.007168-0.040558j), (-0.029602-0.054885j), (-0.044959-0.058376j), (-0.048868-0.050688j), (-0.039948-0.033536j), (-0.020188-0.010325j), (0.005569+0.014391j), (0.031020+0.036007j), (0.050025+0.050542j), (0.058265+0.055499j), (0.054134+0.050225j), (0.039011+0.035858j), (0.016538+0.015130j), (-0.008432-0.008418j), (-0.031193-0.031044j), (-0.048210-0.049579j), (-0.057703-0.061947j), (-0.059685-0.067330j), (-0.055547-0.066239j), (-0.047422-0.059998j), (-0.037513-0.050554j), (-0.027648-0.039716j), (-0.019002-0.029087j), (-0.012080-0.019635j), (-0.006898-0.011778j), (-0.003059-0.005417j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j)
 (-0.006676+0.008672j), (-0.016055+0.018335j), (-0.031739+0.028304j), (-0.060152+0.033333j), (-0.113056+0.013826j), (-0.206422-0.097798j), (0.674484-0.532407j), (-0.195498-0.078111j), (-0.087032+0.051479j), (-0.019285+0.079705j), (0.018118+0.071114j), (0.032914+0.046252j), (0.030001+0.014155j), (0.014222-0.018656j), (-0.008383-0.046382j), (-0.030862-0.064275j), (-0.046537-0.069286j), (-0.050601-0.060809j), (-0.041315-0.040744j), (-0.020464-0.013119j), (0.007082+0.016587j), (0.034765+0.042746j), (0.055987+0.060464j), (0.065890+0.066629j), (0.062372+0.060400j), (0.046514+0.043140j), (0.021932+0.018176j), (-0.006242-0.010175j), (-0.032790-0.037357j), (-0.053554-0.059542j), (-0.066170-0.074241j), (-0.070228-0.080515j), (-0.066947-0.079026j), (-0.058525-0.071408j), (-0.047418-0.060020j), (-0.035805-0.047041j), (-0.025208-0.034374j), (-0.016397-0.023158j), (-0.009548-0.013868j), (-0.004294-0.006372j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000001-0.000001j), (0.000001-0.000001j), (0.000001-0.000001j), (0.000001-0.000001j), (0.000001-0.000001j), (0.000001-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j)
 (-0.001727+0.009386j), (-0.004725+0.020273j), (-0.010870+0.033161j), (-0.023642+0.046669j), (-0.049789+0.054581j), (-0.101616+0.036000j), (-0.195498-0.078119j), (0.684005-0.519051j), (-0.185909-0.068827j), (-0.080024+0.052819j), (-0.018455+0.070605j), (0.010367+0.051603j), (0.016406+0.018665j), (0.007141-0.017229j), (-0.010447-0.048469j), (-0.029275-0.069280j), (-0.042745-0.075944j), (-0.046017-0.067511j), (-0.037065-0.045892j), (-0.017150-0.015478j), (0.009456+0.017616j), (0.036703+0.047005j), (0.058214+0.067090j), (0.069026+0.074256j), (0.066634+0.067478j), (0.051577+0.048259j), (0.026986+0.020349j), (-0.002259-0.011361j), (-0.030885-0.041719j), (-0.054379-0.066414j), (-0.069857-0.082672j), (-0.076367-0.089482j), (-0.074727-0.087634j), (-0.066951-0.079001j), (-0.055547-0.066242j), (-0.042913-0.051792j), (-0.030876-0.037759j), (-0.020486-0.025385j), (-0.012125-0.015176j), (-0.005515-0.006965j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000000j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000001-0.000001j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j)
 (0.002451+0.009175j), (0.004552+0.019967j), (0.005323+0.033224j), (0.002635+0.048737j), (-0.007649+0.064257j), (-0.033150+0.072525j), (-0.087031+0.051478j), (-0.185910-0.068816j), (0.686848-0.519444j), (-0.188483-0.076178j), (-0.089005+0.036670j), (-0.034392+0.045900j), (-0.011270+0.020967j), (-0.007666-0.013398j), (-0.014758-0.045358j), (-0.025361-0.067639j), (-0.033406-0.075805j), (-0.034438-0.068483j), (-0.026265-0.047345j), (-0.009345-0.016754j), (0.013289+0.017042j), (0.036918+0.047377j), (0.056203+0.068346j), (0.066646+0.076064j), (0.065577+0.069360j), (0.052846+0.049730j), (0.030669+0.021052j), (0.003086-0.011585j), (-0.025132-0.042810j), (-0.049539-0.068149j), (-0.066929-0.084739j), (-0.075791-0.091572j), (-0.076367-0.089504j), (-0.070231-0.080510j), (-0.059684-0.067350j), (-0.047142-0.052534j), (-0.034609-0.038210j), (-0.023371-0.025635j), (-0.014028-0.015299j), (-0.006441-0.007013j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j)
 (0.005613+0.008024j), (0.011488+0.017544j), (0.017149+0.029443j), (0.021075+0.043893j), (0.020282+0.059941j), (0.009658+0.074556j), (-0.019285+0.079695j), (-0.080027+0.052819j), (-0.188483-0.076190j), (0.674245-0.537248j), (-0.207668-0.100118j), (-0.112465+0.007585j), (-0.059289+0.014323j), (-0.033805-0.008821j), (-0.023747-0.036601j), (-0.021004-0.057864j), (-0.019986-0.066941j), (-0.016838-0.061830j), (-0.009315-0.043657j), (0.003108-0.016239j), (0.019132+0.014697j), (0.036091+0.042880j), (0.050457+0.062662j), (0.058847+0.070239j), (0.058794+0.064366j), (0.049494+0.046350j), (0.031966+0.019784j), (0.008914-0.010552j), (-0.015972-0.039597j), (-0.038820-0.063138j), (-0.056448-0.078487j), (-0.066925-0.084724j), (-0.069855-0.082677j), (-0.066170-0.074223j), (-0.057702-0.061952j), (-0.046623-0.048212j), (-0.034912-0.034986j), (-0.023974-0.023421j), (-0.014577-0.013952j), (-0.006750-0.006388j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000002j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000001-0.000003j), (0.000001-0.000003j), (0.000002-0.000003j), (0.000002-0.000003j), (0.000002-0.000003j), (0.000002-0.000003j), (0.000002-0.000003j), (0.000002-0.000003j), (0.000001-0.000003j), (0.000001-0.000003j), (0.000001-0.000002j), (0.000001-0.000002j), (0.000000-0.000002j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (0.000000-0.000001j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j), (-0.000000-0.000000j)
