0.01897620119640925 + 0.0im,0.037724597193277164 + 0.0im,0.056009374123195385 - 0.0im,0.07357641180503889 - 0.0im,0.09013679095798564 - 0.0im,-0.1053348170830345 - 0.0im,0.11867236788485871 - 0.0im,0.129272044002701 - 0.0im,-0.1345225198666418 + 0.0im
0.037841042490363984 + 0.0im,0.07456496180604222 + 0.0im,0.10907214254660604 - 0.0im,0.14029497110713404 - 0.0im,0.16720418909630935 - 0.0im,-0.18879487003186882 - 0.0im,0.2040143212492076 - 0.0im,0.21147080063311735 - 0.0im,-0.20756533704058738 - 0.0im
0.0564838175046951 + 0.0im,0.1096575869192465 + 0.0im,0.15639671802151578 - 0.0im,0.19393702675469712 - 0.0im,0.2200277994878866 - 0.0im,-0.23304810263049197 - 0.0im,0.2320566519761969 + 0.0im,0.21666430956968902 - 0.0im,-0.18574630340425008 - 0.0im
0.07479512301748992 + 0.0im,0.1421799311318886 + 0.0im,0.19549339474422464 - 0.0im,0.22950275208088308 - 0.0im,0.24094845758151168 + 0.0im,-0.22890449535340418 - 0.0im,0.19492336903693544 + 0.0im,0.1429613998074071 + 0.0im,-0.07903718948265617 + 0.0im
0.09266750101099235 + 0.0im,0.1713696982595703 - 0.0im,0.2243053297092661 - 0.0im,0.24367716484019708 + 0.0im,0.22693277049085842 + 0.0im,-0.17722454650698316 - 0.0im,0.10304375545236416 + 0.0im,0.01720034316002655 + 0.0im,0.06379363041080538 + 0.0im
0.10999606925644476 + 0.0im,0.1965427049076074 + 0.0im,0.24131675142575168 - 0.0im,0.2351391074942636 + 0.0im,0.18001294415883032 + 0.0im,-0.08874057349629755 + 0.0im,-0.01777680827817712 + 0.0im,-0.11482406843848167 + 0.0im,0.17746938070226023 + 0.0im
0.12667913682307677 + 0.0im,0.21710891713541255 + 0.0im,0.24563270343856244 + 0.0im,0.20468438859141136 + 0.0im,0.10699212338174077 + 0.0im,0.018172055553433226 + 0.0im,-0.13360456367535256 + 0.0im,-0.20503629696804918 + 0.0im,0.21003778350726823 + 0.0im
0.1426188008501386 + 0.0im,0.23258628036361498 + 0.0im,0.23702612714187288 + 0.0im,0.1551516076837585 + 0.0im,0.01845796920470485 + 0.0im,0.1213109140723147 + 0.0im,-0.2119080362916149 + 0.0im,-0.22058634617195363 + 0.0im,0.1466143739502895 + 0.0im
0.15772152104414577 + 0.0im,0.24261201831295134 - 0.0im,0.21594980725394983 + 0.0im,0.09115757739788337 + 0.0im,-0.0727525000176262 + 0.0im,0.19925727020257522 + 0.0im,-0.23069485126937073 - 0.0im,-0.1558118012790774 + 0.0im,0.016185022721497078 - 0.0im
0.17189866863469516 + 0.0im,0.2469511361675084 + 0.0im,0.1835125510695032 + 0.0im,0.01866700310585903 + 0.0im,-0.15341421337507197 + 0.0im,0.2358240909816024 + 0.0im,-0.18468852899378838 - 0.0im,-0.03429974786295103 - 0.0im,-0.12164123414791846 - 0.0im
0.18506704649755762 + 0.0im,0.24550192870958729 + 0.0im,0.14142085515216232 + 0.0im,-0.05556347057649707 + 0.0im,-0.21183161787739238 + 0.0im,0.2234175854781351 + 0.0im,-0.08681044129742342 - 0.0im,0.09970225958890319 - 0.0im,-0.20387481465519008 - 0.0im
0.1971493773263312 + 0.0im,0.2382983641165423 + 0.0im,0.09188912792706465 + 0.0im,-0.1246150278604716 + 0.0im,-0.2395344762163153 + 0.0im,0.16461419886619735 - 0.0im,0.03544929519124081 - 0.0im,0.19739855876648169 - 0.0im,-0.1929331929327875 - 0.0im
0.20807475722701488 + 0.0im,0.22550928783740287 + 0.0im,0.03752319158746601 + 0.0im,-0.18205156533945718 + 0.0im,-0.232506009754607 + 0.0im,0.07162556494033574 - 0.0im,0.14775271475479057 - 0.0im,0.22321389439519354 - 0.0im,-0.09381692690655263 - 0.0im
0.21777907170307506 + 0.0im,0.207434464990386 + 0.0im,-0.01881680804836199 + 0.0im,-0.22251958325693466 - 0.0im,-0.1917653116784256 + 0.0im,-0.03623747026690992 - 0.0im,0.21855819071506358 - 0.0im,0.16774783713950245 - 0.0im,0.048175704946046095 - 0.0im
0.22620537200938565 + 0.0im,0.18449755409086493 + 0.0im,-0.07416687137036318 + 0.0im,-0.24224717034275475 - 0.0im,-0.12321958347077593 - 0.0im,-0.1365751103844566 - 0.0im,0.22797924145076737 - 0.0im,0.05119786801065857 - 0.0im,0.16815099710503634 + 0.0im
0.23330420922474876 + 0.0im,0.15723617689638675 + 0.0im,-0.12561507845684977 + 0.0im,-0.23939557312484278 - 0.0im,-0.03680761971206719 - 0.0im,-0.2085503494674077 - 0.0im,0.17336986321961015 + 0.0im,-0.0839953582269858 + 0.0im,0.21127764473624444 + 0.0im
0.23903392458841682 + 0.0im,0.12628931699050674 + 0.0im,-0.17045478276798834 + 0.0im,-0.21423058103695214 - 0.0im,0.05494126846363357 - 0.0im,-0.23721616978264362 - 0.0im,0.07006768894638941 + 0.0im,-0.18860240734071546 + 0.0im,0.1578458366021677 - 0.0im
0.24336089382013082 + 0.0im,0.09238234252066291 + 0.0im,-0.20632700544981747 + 0.0im,-0.16909775293380758 - 0.0im,0.13872394205393238 - 0.0im,-0.2166195723641303 - 0.0im,-0.052913751530137575 + 0.0im,-0.22453153472349824 + 0.0im,0.032275065300766605 - 0.0im
0.24625972457311623 + 0.0im,0.05631000424775631 - 0.0im,-0.23134453930026844 + 0.0im,-0.10820379407221264 - 0.0im,0.2023923240898507 - 0.0im,-0.15103782965218546 - 0.0im,-0.16103379416008443 + 0.0im,-0.17869946199239856 + 0.0im,-0.10804610929073882 + 0.0im
0.24771340533124447 + 0.0im,0.01891780720333839 - 0.0im,-0.24419123306126886 + 0.0im,-0.03722446081082843 - 0.0im,0.23671481130692495 - 0.0im,-0.05409022909013402 + 0.0im,-0.22392575878180745 + 0.0im,-0.06779553870982956 + 0.0im,-0.19898787378161475 + 0.0im
0.24771340533124447 + 0.0im,-0.01891780720333839 - 0.0im,-0.24419123306126886 + 0.0im,0.03722446081082843 - 0.0im,0.23671481130692495 - 0.0im,0.05409022909013402 + 0.0im,-0.22392575878180745 - 0.0im,0.06779553870982956 + 0.0im,-0.19898787378161475 + 0.0im
0.24625972457311623 - 0.0im,-0.05631000424775631 - 0.0im,-0.23134453930026844 + 0.0im,0.10820379407221264 - 0.0im,0.2023923240898507 - 0.0im,0.15103782965218546 + 0.0im,-0.16103379416008443 - 0.0im,0.17869946199239856 + 0.0im,-0.10804610929073882 + 0.0im
0.24336089382013082 - 0.0im,-0.09238234252066291 - 0.0im,-0.20632700544981747 + 0.0im,0.16909775293380758 - 0.0im,0.13872394205393238 + 0.0im,0.2166195723641303 + 0.0im,-0.052913751530137575 - 0.0im,0.22453153472349824 + 0.0im,0.032275065300766605 + 0.0im
0.23903392458841682 - 0.0im,-0.12628931699050674 - 0.0im,-0.17045478276798834 - 0.0im,0.21423058103695214 - 0.0im,0.05494126846363357 + 0.0im,0.23721616978264362 + 0.0im,0.07006768894638941 - 0.0im,0.18860240734071546 + 0.0im,0.1578458366021677 - 0.0im
0.23330420922474876 - 0.0im,-0.15723617689638675 - 0.0im,-0.12561507845684977 - 0.0im,0.23939557312484278 - 0.0im,-0.03680761971206719 + 0.0im,0.2085503494674077 - 0.0im,0.17336986321961015 - 0.0im,0.0839953582269858 - 0.0im,0.21127764473624444 - 0.0im
0.22620537200938565 - 0.0im,-0.18449755409086493 - 0.0im,-0.07416687137036318 - 0.0im,0.24224717034275475 - 0.0im,-0.12321958347077593 + 0.0im,0.1365751103844566 - 0.0im,0.22797924145076737 + 0.0im,-0.05119786801065857 - 0.0im,0.16815099710503634 - 0.0im
