 (0.018976-0.000000j), (0.038020+0.000000j), (0.057229+0.000000j), (0.076768+0.000000j), (0.096957-0.000000j), (0.118437+0.000000j), (0.142703+0.000000j), (-0.174232+0.000000j), (-0.240326+0.000000j)
 (0.037841-0.000000j), (0.075149+0.000000j), (0.111446+0.000000j), (0.146383+0.000000j), (0.179855-0.000000j), (0.212278+0.000000j), (0.245326-0.000000j), (-0.285020+0.000000j), (-0.370817+0.000000j)
 (0.056483-0.000000j), (0.110517+0.000000j), (0.159801+0.000000j), (0.202352+0.000000j), (0.236676-0.000000j), (0.262036+0.000000j), (0.279047+0.000000j), (-0.292020+0.000000j), (-0.331837+0.000000j)
 (0.074795-0.000000j), (0.143294+0.000000j), (0.199748+0.000000j), (0.239461+0.000000j), (0.259180+0.000000j), (0.257376+0.000000j), (0.234394-0.000000j), (-0.192683+0.000000j), (-0.141200+0.000000j)
 (0.092668-0.000000j), (0.172712+0.000000j), (0.229187+0.000000j), (0.254249+0.000000j), (0.244104+0.000000j), (0.199269+0.000000j), (0.123909-0.000000j), (-0.023182+0.000000j), (0.113967+0.000000j)
 (0.109996-0.000000j), (0.198083+0.000000j), (0.246569+0.000000j), (0.245341-0.000000j), (0.193633+0.000000j), (0.099778+0.000000j), (-0.021376+0.000000j), (0.154760+0.000000j), (0.317052+0.000000j)
 (0.126679-0.000000j), (0.218809-0.000000j), (0.250979+0.000000j), (0.213565+0.000000j), (0.115087+0.000000j), (-0.020433+0.000000j), (-0.160658+0.000000j), (0.276348+0.000000j), (0.375234-0.000000j)
 (0.142619-0.000000j), (0.234408-0.000000j), (0.242185+0.000000j), (0.161884+0.000000j), (0.019855+0.000000j), (-0.136400+0.000000j), (-0.254817+0.000000j), (0.297305+0.000000j), (0.261928-0.000000j)
 (0.157722-0.000000j), (0.244512-0.000000j), (0.220650+0.000000j), (0.095113+0.000000j), (-0.078257+0.000000j), (-0.224042+0.000000j), (-0.277409+0.000000j), (0.210002+0.000000j), (0.028915-0.000000j)
 (0.171899-0.000000j), (0.248885+0.000000j), (0.187507+0.000000j), (0.019477+0.000000j), (-0.165022+0.000000j), (-0.265157+0.000000j), (-0.222086+0.000000j), (0.046229-0.000000j), (-0.217313+0.000000j)
 (0.185067-0.000000j), (0.247425+0.000000j), (0.144499+0.000000j), (-0.057975+0.000000j), (-0.227859+0.000000j), (-0.251207+0.000000j), (-0.104388+0.000000j), (-0.134379+0.000000j), (-0.364225+0.000000j)
 (0.197149-0.000000j), (0.240165+0.000000j), (0.093889-0.000000j), (-0.130022+0.000000j), (-0.257659+0.000000j), (-0.185090+0.000000j), (0.042628+0.000000j), (-0.266053+0.000000j), (-0.344676+0.000000j)
 (0.208075-0.000000j), (0.227276+0.000000j), (0.038340-0.000000j), (-0.189951+0.000000j), (-0.250098+0.000000j), (-0.080535+0.000000j), (0.177672-0.000000j), (-0.300847+0.000000j), (-0.167604+0.000000j)
 (0.217779-0.000000j), (0.209059+0.000000j), (-0.019227+0.000000j), (-0.232175+0.000000j), (-0.206275+0.000000j), (0.040745-0.000000j), (0.262814-0.000000j), (-0.226090+0.000000j), (0.086067+0.000000j)
 (0.226205-0.000000j), (0.185943+0.000000j), (-0.075780+0.000000j), (-0.252757+0.000000j), (-0.132544+0.000000j), (0.153563-0.000000j), (0.274143-0.000000j), (-0.069004+0.000000j), (0.300403-0.000000j)
 (0.233304-0.000000j), (0.158468+0.000000j), (-0.128349+0.000000j), (-0.249782+0.000000j), (-0.039592+0.000000j), (0.234492-0.000000j), (0.208476-0.000000j), (0.113209+0.000000j), (0.377450-0.000000j)
 (0.239034-0.000000j), (0.127279+0.000000j), (-0.174164+0.000000j), (-0.223525+0.000000j), (0.059098+0.000000j), (0.266722+0.000000j), (0.084256-0.000000j), (0.254197+0.000000j), (0.281992-0.000000j)
 (0.243361-0.000000j), (0.093105-0.000000j), (-0.210818+0.000000j), (-0.176434+0.000000j), (0.149220-0.000000j), (0.243564+0.000000j), (-0.063628+0.000000j), (0.302623+0.000000j), (0.057661-0.000000j)
 (0.246260-0.000000j), (0.056751-0.000000j), (-0.236380+0.000000j), (-0.112898+0.000000j), (0.217706-0.000000j), (0.169825+0.000000j), (-0.193642+0.000000j), (0.240851-0.000000j), (-0.193025+0.000000j)
 (0.247713+0.000000j), (0.019066-0.000000j), (-0.249507+0.000000j), (-0.038840+0.000000j), (0.254625-0.000000j), (0.060819+0.000000j), (-0.269269+0.000000j), (0.091375-0.000000j), (-0.355494+0.000000j)
 (0.247713+0.000000j), (-0.019066+0.000000j), (-0.249507+0.000000j), (0.038840-0.000000j), (0.254625-0.000000j), (-0.060819+0.000000j), (-0.269269+0.000000j), (-0.091375+0.000000j), (-0.355494+0.000000j)
 (0.246260+0.000000j), (-0.056751+0.000000j), (-0.236380+0.000000j), (0.112898-0.000000j), (0.217706-0.000000j), (-0.169825+0.000000j), (-0.193642+0.000000j), (-0.240851+0.000000j), (-0.193025+0.000000j)
 (0.243361+0.000000j), (-0.093105+0.000000j), (-0.210818+0.000000j), (0.176434-0.000000j), (0.149220-0.000000j), (-0.243564+0.000000j), (-0.063628+0.000000j), (-0.302623+0.000000j), (0.057661+0.000000j)
 (0.239034+0.000000j), (-0.127279+0.000000j), (-0.174164+0.000000j), (0.223525-0.000000j), (0.059098-0.000000j), (-0.266722+0.000000j), (0.084256+0.000000j), (-0.254197+0.000000j), (0.281992+0.000000j)
 (0.233304+0.000000j), (-0.158468+0.000000j), (-0.128349+0.000000j), (0.249782-0.000000j), (-0.039592+0.000000j), (-0.234492+0.000000j), (0.208476+0.000000j), (-0.113209+0.000000j), (0.377450+0.000000j)
 (0.226205+0.000000j), (-0.185943+0.000000j), (-0.075780+0.000000j), (0.252757-0.000000j), (-0.132544+0.000000j), (-0.153563+0.000000j), (0.274143+0.000000j), (0.069004+0.000000j), (0.300403-0.000000j)
 (0.217779+0.000000j), (-0.209059+0.000000j), (-0.019227+0.000000j), (0.232175-0.000000j), (-0.206275+0.000000j), (-0.040745+0.000000j), (0.262814-0.000000j), (0.226090+0.000000j), (0.086067-0.000000j)
 (0.208075+0.000000j), (-0.227276+0.000000j), (0.038340-0.000000j), (0.189951-0.000000j), (-0.250098+0.000000j), (0.080535-0.000000j), (0.177672-0.000000j), (0.300847+0.000000j), (-0.167604+0.000000j)
 (0.197149+0.000000j), (-0.240165+0.000000j), (0.093889-0.000000j), (0.130022-0.000000j), (-0.257659+0.000000j), (0.185090-0.000000j), (0.042628-0.000000j), (0.266053-0.000000j), (-0.344676+0.000000j)
 (0.185067+0.000000j), (-0.247425+0.000000j), (0.144499-0.000000j), (0.057975-0.000000j), (-0.227859+0.000000j), (0.251207-0.000000j), (-0.104388+0.000000j), (0.134379-0.000000j), (-0.364225+0.000000j)
 (0.171899+0.000000j), (-0.248885+0.000000j), (0.187507-0.000000j), (-0.019477+0.000000j), (-0.165022+0.000000j), (0.265157-0.000000j), (-0.222086+0.000000j), (-0.046229+0.000000j), (-0.217313+0.000000j)
 (0.157722+0.000000j), (-0.244512+0.000000j), (0.220650-0.000000j), (-0.095113+0.000000j), (-0.078257+0.000000j), (0.224042-0.000000j), (-0.277409+0.000000j), (-0.210002+0.000000j), (0.028915+0.000000j)
 (0.142619+0.000000j), (-0.234408+0.000000j), (0.242185-0.000000j), (-0.161884+0.000000j), (0.019855+0.000000j), (0.136400-0.000000j), (-0.254817+0.000000j), (-0.297305+0.000000j), (0.261928+0.000000j)
 (0.126679+0.000000j), (-0.218809+0.000000j), (0.250979+0.000000j), (-0.213565+0.000000j), (0.115087-0.000000j), (0.020433+0.000000j), (-0.160658+0.000000j), (-0.276348+0.000000j), (0.375234+0.000000j)
 (0.109996+0.000000j), (-0.198083+0.000000j), (0.246569+0.000000j), (-0.245341+0.000000j), (0.193633-0.000000j), (-0.099778+0.000000j), (-0.021376+0.000000j), (-0.154760+0.000000j), (0.317052+0.000000j)
